t_s,u_b_mps,v_b_mps,w_b_mps,p_b_rps,q_b_rps,r_b_rps,q0,q1,q2,q3,x_e_m,y_e_m,z_e_m,lat_rad,long_rad,h_m,m_fuel_kg,phi_rad,theta_rad,psi_rad,phi_dot_rps,theta_dot_rps,psi_dot_rps,p_nb_rps,q_nb_rps,r_nb_rps,cs_mps,rho_kgpm3,p_kgpms2,T_K,mach,alpha_rad,beta_rad,true_airspeed_mps,qbar_kgpms2,g_mag_mps2,u_n_mps,v_n_mps,w_n_mps,Fx_b_kgmps2,Fy_b_kgmps2,Fz_b_kgmps2,l_b_kgm2ps2,m_b_kgm2ps2,n_b_kgm2ps2,n_x,n_y,n_z,dela_ach_rad,dele_ach_rad,delr_ach_rad,delt_ach_pct,dela_cmd_rad,dele_cmd_rad,delr_cmd_rad,delt_cmd_pct,dela_trim_rad,dele_trim_rad,delr_trim_rad,delt_trim_pct,W_N_mps,W_E_mps,W_D_mps
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,-0.7071067811865475,0.0,6387281.0,0.0,0.0,0.0,0.0,9144.0,0.0,0.0,2.220446049250313e-16,0.0,-7.2921151467e-05,0.0,-1.619174826816838e-20,-7.2921151467e-05,0.0,-1.619174826816838e-20,303.2301162993323,0.45904119204140337,30148.707841120464,228.7993742033871,0.07036240417141898,-3.141592653589793,-1.5707963267948966,21.336000000000002,104.48348945338196,9.752107781729656,0.0,0.0,0.0,1.1670467390740382e-17,0.1905931963218426,1.4292200534623771e-33,0.0,0.0,0.0,8.154477176470858e-20,0.0013317271856911434,-9.986354372885182e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.3064532053303966e-15,21.336000000000002,0.0
0.1,-1.2641933019391844e-16,0.0013063533278647814,0.9751808135701875,0.0,0.0,0.0,0.7071067811818308,-2.5781520347065775e-06,-0.7071067811818307,-2.5781520347065784e-06,6387280.951061969,6.578610353128639e-05,1.31908196558438e-18,2.079067934974894e-25,1.0299547497910789e-11,9143.951061969003,0.0,-7.292125446247496e-06,1.761577027418834e-16,-1.694067703035172e-21,-7.292135710805975e-05,4.089122660727492e-24,-1.1442032219642005e-20,-7.292135710805975e-05,4.172706874954183e-24,-1.1442032188909047e-20,303.2303264276588,0.45904390510926835,30148.928015755842,228.79969138930792,0.07043123520956723,1.5707963267948981,-1.5251266944478103,21.35688644349755,104.68877371950789,9.752107932190055,2.6865970869347167e-17,0.0013134872236163218,0.9751808039874067,1.2320352917465261e-17,0.19076790729572118,-0.008718476747356228,0.0,0.0,0.0,8.608570103306118e-20,0.0013329479394118575,6.091839964037461e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.3064442155599437e-15,21.33585318590701,0.0
0.2,-2.885160295247166e-16,0.002615229908863075,1.9503019043227814,0.0,0.0,0.0,0.7071067811692107,-5.156304069439972e-06,-0.7071067811692106,-5.156304069439972e-06,6387280.804787384,0.00026347807836554505,3.914267188333963e-18,6.169463157777126e-25,4.125042979061957e-11,9143.804787384346,0.0,-1.4584271543971892e-05,1.7713822926646938e-16,-1.411728999266758e-21,-7.292156536713618e-05,8.071422790002075e-24,-1.2719875200829969e-20,-7.292156536713618e-05,8.257033977459759e-24,-1.2719875081460142e-20,303.23095449611714,0.4590520144031447,30149.586112387136,228.80063945031253,0.07064518427829818,1.5707963267948974,-1.4796421224123144,21.42180666001419,105.3280672697669,9.75210838191255,1.7220735893899364e-17,0.0026436963948405535,1.9503018659512537,1.446306272790905e-17,0.19133550450987885,-0.01748972887374731,0.0,0.0,0.0,1.0105740495892735e-19,0.0013369138975635846,0.00012220555539771568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.3064173453546594e-15,21.33541436215304,0.0
0.30000000000000004,-4.787054853811483e-16,0.003929265295892243,2.925362823257685,0.0,0.0,0.0,0.707106781152944,-7.734456104341615e-06,-0.7071067811529439,-7.734456104341615e-06,6387280.561159844,0.0005948734393785523,2.0625316700822896e-18,3.2508546366953098e-25,9.313407070231018e-11,9143.561159843579,0.0,-2.1876438574916437e-05,1.6947243670020127e-16,-1.6940816781248005e-21,-7.292177665666826e-05,-1.5897261108023982e-25,-1.1929492171754937e-20,-7.292177665666826e-05,1.0200219166232785e-25,-1.1929492172378092e-20,303.2320005751356,0.45906552083236546,30150.682204809793,228.8022184927114,0.07100290462056995,1.5707963267948972,-1.4345250703490695,21.530352814740965,106.40130947960662,9.752109130947632,-1.3230750809233475e-19,0.003993261815157477,2.9253627366713055,1.5949630909383337e-17,0.19229224183956667,-0.026367320255235624,0.0,0.0,0.0,1.1144446650602347e-19,0.00134359888494036,0.00018423573283501217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.3063725917014618e-15,21.33468347953074,0.0
0.4,-6.54632464956649e-16,0.0052512122010054734,3.9003622645968985,0.0,0.0,0.0,0.7071067811295039,-1.031260813923229e-05,-0.7071067811295038,-1.031260813923229e-05,6387280.21971722,0.0010627625973541712,-2.83557359286626e-18,-4.469283160585093e-25,1.6638734498908837e-10,9143.219717220092,0.0,-2.9168626975512658e-05,1.6254963440950654e-16,-3.952847153694972e-21,-7.292199141811804e-05,1.2502182608710626e-24,-1.2434059905127482e-20,-7.292199141811804e-05,1.612511585842905e-24,-1.2434059866737121e-20,303.2334666489765,0.45908445001669557,30152.218372154413,228.80443151172219,0.07150287294993515,1.5707963267948972,-1.3899525726802946,21.682064043053504,107.91055422511425,9.752110180716214,-6.388489164188215e-17,0.005365003161893348,3.900362109935609,2.1416378349881525e-17,0.1936338910620515,-0.03540473819531499,0.0,0.0,0.0,1.496421373794647e-19,0.0013529733577847492,0.00024738266248161496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.30630986970907e-15,21.33365915166028,0.0
0.5,-8.183402696335081e-16,0.006583668170142378,4.87529920162186,0.0,0.0,0.0,0.7071067810955122,-1.2890760173936116e-05,-0.7071067810955121,-1.2890760173936116e-05,6387279.780933621,0.001668869992146256,-6.484348220413767e-18,-1.0220292070122385e-24,2.612802397182808e-10,9142.78093362165,0.0,-3.646083701545323e-05,2.0249746463177952e-16,-2.2588073651142e-21,-7.292221004727786e-05,1.3848836198397357e-23,-1.3568500218815317e-20,-7.292221004727786e-05,1.4343904678651965e-23,-1.3568499701118646e-20,303.23535068193326,0.4591087756721488,30154.192481386588,228.8072754344728,0.07214141772644879,1.570796326794897,-1.3460837481982368,21.875828107669005,109.85371214611804,9.752111529760796,-9.236620214429468e-17,0.006761448405367779,4.875298958667959,1.7095467561230554e-17,0.19535040868019093,-0.044652372480666155,0.0,0.0,0.0,1.1945074295804067e-19,0.0013649671394144669,0.0003119984316632993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.3062292664696673e-15,21.33234280086495,0.0
0.6000000000000001,-9.721710338034209e-16,0.007929163824088434,5.850172038249183,0.0,0.0,0.0,0.7071067810485563,-1.5468912208318554e-05,-0.7071067810485562,-1.5468912208318554e-05,6387279.244815349,0.0024157890985824063,-5.698642710767214e-18,-8.981904710343254e-25,3.782188011496975e-10,9142.244815348648,0.0,-4.375306910068549e-05,1.2278951456796e-16,-3.388178230021377e-21,-7.292243294014125e-05,-1.0541735615795747e-23,-1.1284390456682609e-20,-7.292243294014125e-05,-1.0048008890452737e-23,-1.1284390907114866e-20,303.23765264695345,0.45913849744943824,30156.60450416052,228.81075022012803,0.07291486280903337,1.570796326794897,-1.3030638637931686,22.110531841285923,112.23080841400089,9.752113178062187,-6.676193225847302e-17,0.008185126798580213,5.8501716862407775,2.0735209140982424e-17,0.1974317375499163,-0.054159166967002514,0.0,0.0,0.0,1.4488262040271572e-19,0.0013795099577923937,0.0003784250245877072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.3061307831406178e-15,21.330734446045945,0.0
0.7000000000000001,-1.1188212963432174e-15,0.009290222902139465,6.824978571160611,0.0,0.0,0.0,0.7071067809871325,-1.8047064242283167e-05,-0.7071067809871324,-1.8047064242283167e-05,6387278.6109010475,0.003307043961456981,1.671715129916555e-18,2.6348708450230372e-25,5.177547690098357e-10,9141.610901047787,0.0,-5.1045323782991876e-05,1.178596561082806e-16,-2.25881536473207e-21,-7.292266050229736e-05,-4.664853067218439e-24,-1.1643388928630554e-20,-7.292266050229736e-05,-4.069867974637305e-24,-1.1643389141928506e-20,303.24037452497896,0.45917364092545765,30159.456516127648,228.81485885889344,0.07381953935826079,1.570796326794897,-1.2610255100059753,22.385064771390507,115.04398267846021,9.752115127039055,-4.065798130504903e-16,0.00963862887824172,6.824978088609303,2.4492669116788294e-17,0.1998678369332161,-0.06397343509508649,0.0,0.0,0.0,1.7113702872103404e-19,0.0013965316555150525,0.0004470000205794907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.3060143349726953e-15,21.32883270314336,0.0
0.8,-1.2614345768873843e-15,0.010669127061622742,7.7997169486584905,0.0,0.0,0.0,0.7071067809108657,-2.062521627577834e-05,-0.7071067809108655,-2.062521627577834e-05,6387277.879665449,0.004345005594760026,1.6631655982825654e-17,2.6213958130622295e-24,6.802593651084544e-10,9140.879665449573,0.0,-5.8337601433733105e-05,1.2281707993511873e-16,-1.12946087216154e-21,-7.292289308005914e-05,-8.765911987328791e-24,-1.1281787068772374e-20,-7.292289308005914e-05,-8.107948674640396e-24,-1.1281787564000656e-20,303.24351427762946,0.4592141797816965,30162.746381451812,228.81959827386066,0.07485002573696571,1.570796326794897,-1.2200724453971763,22.69778485989406,118.29122883663761,9.752117375232102,-1.9774423826462876e-16,0.011124166567698563,7.799716313494984,2.8384225507679086e-17,0.20264392550170443,-0.0741379553033343,0.0,0.0,0.0,1.9832840564536054e-19,0.0014159289513676254,0.0005180223243765926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.3058800091724788e-15,21.326638996348716,0.0
0.9,-1.4034818868435093e-15,0.01206812893369098,8.774384730497015,0.0,0.0,0.0,0.7071067808202973,-2.3203368308791273e-05,-0.7071067808202972,-2.3203368308791276e-05,6387277.051115568,0.00553294841627883,3.9136593576613004e-17,6.168508776137827e-24,8.662452516150799e-10,9140.051115567796,0.0,-6.562990256574966e-05,1.9318076979421414e-16,-1.355269449743396e-20,-7.292313102586696e-05,-2.845059400436814e-23,-1.0199330550211508e-20,-7.292313102586696e-05,-2.778121287333003e-23,-1.0199332395455511e-20,303.2470718747892,0.45926011362931846,30166.474068577623,228.82496841957072,0.07600116561773819,1.570796326794897,-1.1802927658322306,23.04713093265001,121.97265336003652,9.75211992262007,-1.7606698894410975e-16,0.01264399092274096,8.774383919928708,3.2425685778422683e-17,0.205745938327817,-0.08469401577542746,0.0,0.0,0.0,2.265672022881929e-19,0.0014376035698252588,0.0005917804278964458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.3057278070283811e-15,21.324153346703387,0.0
