t_s,u_b_mps,v_b_mps,w_b_mps,p_b_rps,q_b_rps,r_b_rps,q0,q1,q2,q3,lat_rad,long_rad,h_m,m_fuel_kg,phi_rad,theta_rad,psi_rad,phi_dot_rps,theta_dot_rps,psi_dot_rps,p_nb_rps,q_nb_rps,r_nb_rps,cs_mps,rho_kgpm3,p_kgpms2,T_K,mach,alpha_rad,beta_rad,true_airspeed_mps,g_mag_mps2,u_n_mps,v_n_mps,w_n_mps,Fx_b_kgmps2,Fy_b_kgmps2,Fz_b_kgmps2,l_b_kgm2ps2,m_b_kgm2ps2,n_b_kgm2ps2,dela_ach_rad,dele_ach_rad,delr_ach_rad,delt_ach_pct,dela_cmd_rad,dele_cmd_rad,delr_cmd_rad,delt_cmd_pct,dela_trim_rad,dele_trim_rad,delr_trim_rad,delt_trim_pct,W_N_mps,W_E_mps,W_D_mps
0.0,171.6408573863346,0.0,7.3553820653760065,7.292113023867705e-05,0.0,0.0,-0.0031506810009121174,0.6917975650476882,0.0030185554732101837,0.7220783132916924,0.0,-3.1328660073298216,3048.0000000009313,0.0,0.0,0.04282712541909698,1.6277958517633267e-19,-6.694700136360925e-08,2.7104004083161147e-05,-3.1249140668161187e-06,6.68431777209853e-08,2.7104004083161147e-05,-3.122048704451256e-06,328.39285373108135,0.9047735965183431,69694.64147088309,268.3474951832503,0.5231489797907859,0.042827125419097174,0.0,171.7983864,9.770876862933068,171.79838640000003,2.7914008569830794e-17,3.4638958368304884e-14,-1950.4460856135283,-23419.13751306635,-108008.9558492555,-237445.02641837497,-66907.7818667775,117463.07337831738,0.3752457891787809,0.08074708139814994,-0.5205968092848686,7.002912298466363,0.3752457891787809,0.08074708139814994,-0.5205968092848686,7.002912298466363,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.1,171.6365541984262,-1.765337062673664,7.080292774712663,-1.5652510458367892,-0.00986800432543582,0.10480931297466928,0.023568987529993844,0.6917384360896178,-0.02871743709147541,0.7211777850460015,2.710301417420793e-06,-3.132866009296296,3048.0017600717642,0.0,-0.08259228088515394,0.04193155028249586,0.005374376562746965,-1.5609211918020027,-0.0010968895226681687,0.10534188995031331,-1.5653370290427429,-0.00982634682863244,0.10480594603044661,328.3928467394968,0.9047734322140525,69694.62583198497,268.3474837536705,0.5231286242977911,0.041228282957331434,-0.010276219796038284,171.79169814406828,9.770876857506572,171.79151575068715,-0.25196108512374155,0.0019460282200602953,3201.3312183629937,-17354.099598187408,-85611.51540345684,-170786.85280821525,17906.993557754202,102830.59238534032,0.3752457891787809,-0.03725736848441048,-0.5205968092848686,10.14885558395817,0.3752457891787809,-0.0372346918716844,-0.5205968092848686,10.143055966113662,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.2,171.57769604442356,-6.075351044514395,6.042493505269236,-2.6622682346512843,-0.02861810471850957,0.19139242517437008,0.09217525779619977,0.6855194649167548,-0.11111000704837071,0.7135580749393619,5.420584417191702e-06,-3.132866015396442,3047.996382129689,0.0,-0.2968636184216881,0.04328650831587281,0.020435141540916003,-2.6540636037077423,0.028802141307089944,0.19153243193278133,-2.6623524408827572,-0.028496237156014546,0.1913946162978662,328.39286810246483,0.904773934250073,69694.67361704369,268.347518677048,0.5231289330434831,0.035202657218212086,-0.03537203983919287,171.79181070953257,9.770876874089696,171.7909442646171,-0.5316844071699763,0.12744188828169545,2611.6939706300477,-4823.781846472771,-76312.39087040453,-116094.45543474145,14476.841749824978,77252.9604426948,0.3752457891787809,-0.031405346467872325,-0.5205968092848686,9.915735953404406,0.3752457891787809,-0.031091813796917625,-0.5205968092848686,9.892947383745046,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.30000000000000004,171.42884133908564,-10.53552642979697,3.1370563244612035,-1.7344890535609976,-0.06742662643702123,0.11678052913978612,0.17439919283396957,0.6683716839391997,-0.21014898703883542,0.6918825825843001,8.130816506609654e-06,-3.1328660246352062,3047.972664166242,0.0,-0.5588489639884884,0.04609647955235834,0.03923892428394669,-1.7283171245121447,0.004851979992846747,0.1348625716831074,-1.734531612898426,-0.0673157826234101,0.11679649179117856,328.3929623180752,0.9047761483445754,69694.88436016068,268.34767269718816,0.5230956335452644,0.01829742417391967,-0.061369692679263024,171.7809246755797,9.77087694722197,171.77975318837528,-0.5310985422895814,0.337623438973775,2116.2485242632915,52767.92211533134,-48822.93777426872,324545.9299508745,17720.06407481951,-167099.61230659875,-0.3752457891787809,-0.033744869032785084,0.5205968092848686,10.656628975596782,-0.3752457891787809,-0.03332402644601893,0.5205968092848686,10.638952667957211,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.4,171.37523030029553,-11.301023194119784,1.9273434621945904,0.4199135093799686,-0.02907370665579041,-0.04258143304892744,0.19246395036463362,0.6643528630480581,-0.23243706900398434,0.6837866187177213,1.0840748844750531e-05,-3.132866031269288,3047.9246717769033,0.0,-0.6183797307079766,0.04360546027329317,0.04531161730014185,0.41909043829591236,-0.048311013970415526,-0.0178693516110571,0.4198667484256124,-0.029037771952120622,-0.04256388988893683,328.39315295974933,0.9047806284798802,69695.31079077492,268.3479843510343,0.5230263170749316,0.011245860484523966,-0.06584366321187207,171.75826134510254,9.770877095201122,171.75675817332848,-0.3113377244931344,0.6436808949265592,1165.0348800863442,50478.25157077871,-34258.82866366525,238338.84487714153,55445.53602430386,-156223.9835046849,-0.3752457891787809,-0.09075641848795593,0.5205968092848686,11.82276714853385,-0.3752457891787809,-0.09066317238175287,0.5205968092848686,11.820172697131994,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.5,171.46253893837297,-9.138598126670965,3.570687786249744,0.8257858360350092,0.05358093034267156,-0.170139743214916,0.16231656251619722,0.6742408290993365,-0.19324818579118797,0.6940472459357838,1.3550328441159927e-05,-3.1328660346328907,3047.8418273596712,0.0,-0.5165297898309049,0.03843110819094176,0.03497973326764529,0.8194308642757275,-0.037503109742415254,-0.17467730429934722,0.8261415006557746,0.05358903381123954,-0.17032328381964437,328.3934820452274,0.9047883620852193,69696.04689489918,268.3485223276097,0.5229797390121342,0.020821842571454488,-0.05323601523656757,171.7431375333,9.770877350641426,171.73998128824468,-0.1768496084018251,1.0254554791286428,1209.3867470734556,11828.479311380619,-50716.53961857616,-227637.89719831388,74658.68978952529,16067.095564388872,0.3752457891787809,-0.12508172288744937,-0.2747186311596268,12.06116843899652,0.3752457891787809,-0.12491986829430747,-0.27483637968049646,12.058708894987102,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.6000000000000001,171.5422600983864,-6.51336382858835,5.120283193224209,-0.42966268524233253,0.09558395359341372,-0.1966150880535928,0.167852177456977,0.6732690417284526,-0.1856082108174743,0.6957614806189188,1.6259789922561418e-05,-3.1328660392766987,3047.7232820848003,0.0,-0.5137583953731502,0.03723507962310935,0.01604607109887146,-0.4557850306265532,-0.01350715331558262,-0.21859055891387522,-0.44764767440588416,0.09558929399894985,-0.1968774896820134,328.39395294634255,0.9047994283996591,69697.10021470828,268.3492921390603,0.5229761780386426,0.029839663943775234,-0.03793433227830988,171.74221440288008,9.770877716160113,171.73705863974894,-0.40059348778609993,1.269067580244133,2642.1042849271275,25920.816776410258,-82211.94047614819,134544.71120457508,8652.030403104802,-76079.82483250159,-0.1535291434286987,-0.035315228620291614,0.23906403435630266,10.096001711809773,-0.16477320024851838,-0.03513902244134872,0.24267432270800413,10.09427641891054,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.7000000000000001,171.5798618907494,-3.0663257777982964,6.82569375544305,0.013174853688677714,0.12185362808494887,-0.237784418328934,0.17923038185289045,0.6708799693007768,-0.17998505413426558,0.6967075043135712,1.896921645062801e-05,-3.1328660477345975,3047.5925186661384,0.0,-0.5226015472680852,0.03554566565199755,-0.00856136887097731,0.004057651973115171,-0.013078817694489599,-0.2670284132535568,0.013547267555351437,0.12186622479997634,-0.23776839062495567,328.3944723819737,0.9048116352894718,69698.26209736733,268.3501412929141,0.5229780823764683,0.03976045948425376,-0.01785510338710984,171.74311142936241,9.770878119352195,171.73634957328454,-0.7203991561512475,1.342802784776712,3326.8702482137687,6385.624834512877,-95602.8417531698,-6986.563401596446,20927.801403326575,-8610.590906839056,0.023508342778273093,-0.05418427806418116,0.006631025485338746,10.48219863829953,0.024009843866083957,-0.05420521291536777,0.006479288490214448,10.474075838457741,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.8,171.52129434120826,0.3911674852268338,8.765018267265365,0.0005261895757364723,0.13383273612608151,-0.21443405505138163,0.18837442442554775,0.6683695606269131,-0.17094931599293403,0.6989799900120751,2.1678630258595274e-05,-3.1328660633466563,3047.4575875817486,0.0,-0.5233045153183198,0.035317621451393964,-0.03516374169033958,-0.00848191975307864,0.008781361088497757,-0.2527824640330916,0.0004437710433798179,0.13385406380504092,-0.21442825497400206,328.39500837295407,0.9048242312348539,69699.46101131987,268.35101751083096,0.5229850183866471,0.05105722114903829,0.002277598897046726,171.74566949203424,9.770878535395363,171.73540528911968,-1.319333767175778,1.335446713728637,5777.498394328155,-10621.897181707975,-118221.83533383124,-828.2281472104994,-4877.871584778935,45452.26411034368,-0.025471428824561944,-0.01797416401945774,-0.1165520548248766,10.786623174623998,-0.025485575183944113,-0.01798868129177996,-0.11654415071899288,10.7793365522698,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.9,171.41286254459615,2.835353771381929,10.386559504588497,0.0008258149137626322,0.1108286123358888,-0.14211974616108458,0.19573772578653056,0.6655175645296604,-0.1636845100939245,0.701413215455748,2.4388027898802417e-05,-3.1328660903089984,3047.3292971309274,0.0,-0.5240284390312809,0.037082700482190714,-0.057111992900770896,-0.005874581946604876,0.024866262216546572,-0.17863530975036135,0.0007481796408437527,0.11085213725676589,-0.1421156134307295,328.3955179851374,0.9048362072707605,69700.60092072004,268.3518506056815,0.5229994041946726,0.06051982027753552,0.016509296503438933,171.75066024642777,9.77087893096404,171.7328612595115,-2.1541639680937568,1.2138582664558184,8130.210751063005,-20390.195681485202,-134156.10284882472,-1263.9862092619455,-28073.162459079773,73507.02829672507,-0.046968485359677334,0.017266609756976203,-0.17988980485447847,12.265903934077363,-0.0469736853291335,0.01726305905172131,-0.17988883533437666,12.262133581467651,0.5,0.0,0.0,1.0,0.0,0.0,0.0
