run_id,status,final_lat_deg,final_long_deg,final_alt_m,max_mach,max_nz
0,SUCCESS,37.36153016807635,-115.7832905744098,15127.366419833153,2.417640523459092,0.15281340941351093
1,SUCCESS,37.36332814759557,-115.80015696448199,15122.77763481345,2.4162434536339075,0.3344079647090252
2,SUCCESS,37.36515019216309,-115.77529736922271,15141.680136623792,2.3958324215234112,0.16758621283772512
3,SUCCESS,37.34715081085185,-115.78992283673615,15244.339248367585,2.417886284732019,0.27252093226723473
4,SUCCESS,37.36291428854118,-115.81073435283308,15081.902193136513,2.400505617070259,0.5445394209316408
5,SUCCESS,37.36162997430973,-115.80224417254915,15068.28571228031,2.4044122748692174,0.2853129807729097
6,SUCCESS,37.375819350668316,-115.80671471160909,15069.71675339248,2.39688216326824,0.33046771346910925
8,SUCCESS,37.36805604405702,-115.79132252247855,15454.1727435207,2.400912047166728,0.29373524345609225
7,SUCCESS,37.353580068411546,-115.80080496806754,14921.575530452654,2.41690525704121,0.41108492643996575
9,SUCCESS,37.3654988659838,-115.78445309287726,14819.031159191392,2.4000110855440395,0.31741382118241834
11,SUCCESS,37.35138460683992,-115.80417555004108,15168.403967049904,2.417494547415252,0.17927958959624044
13,SUCCESS,37.37417038183005,-115.80766547558997,15107.988694781438,2.39287609337934,0.41210604610168755
14,SUCCESS,37.35433765108837,-115.79088524981938,15029.79254851304,2.415513391110509,0.2652977258676558
10,SUCCESS,37.36415048804237,-115.78702687927156,15053.863543682732,2.413315865041306,0.28507859089403853
15,SUCCESS,37.35755535949071,-115.79720851327738,15112.665998899378,2.396876715182192,0.20957724006454756
12,SUCCESS,37.354503885438014,-115.79518401346664,15948.761244077235,2.4047298583148993,0.13442331498395976
18,SUCCESS,37.36767620463435,-115.79364065756735,15224.429743951187,2.400794284435971,0.3295624543184211
19,SUCCESS,37.34441801546354,-115.79446848802613,15216.41851204075,2.402210032624575,0.3007883884137035
20,SUCCESS,37.36478086683566,-115.7964328966059,15028.387862724252,2.4088389311267533,0.3345212609275946
16,SUCCESS,37.35278268454207,-115.79679926877839,15937.98963168636,2.4012794872113394,0.08741740750230736
21,SUCCESS,37.37101845462405,-115.79799355047145,15147.88074151706,2.399480357507565,0.17299373320829436
17,SUCCESS,37.36185203663666,-115.80353358762646,16154.385967880487,2.402762658900213,0.17747264011405814
22,SUCCESS,37.359735791503866,-115.80054778975725,14891.450777117163,2.399080500801189,0.12648071735273567
23,SUCCESS,37.35638512747498,-115.7926592274765,15109.045561064035,2.4066698805645927,0.22338443086603596
24,SUCCESS,37.34357111312128,-115.79811311191592,14943.980559893884,2.4132921217237366,0.39727186145159227
26,SUCCESS,37.36106921492111,-115.81214505624969,14825.282483472489,2.401959932116657,0.4403482717092612
27,SUCCESS,37.36544546159524,-115.79554194093815,14996.918678748421,2.4128560541528112,0.332211422629792
29,SUCCESS,37.36773255070749,-115.80758923766395,15210.538251005113,2.3958251787370988,0.23269013881682968
30,SUCCESS,37.37534224522622,-115.79982283386259,15323.675307556987,2.3873594733517525,0.22353844847166499
31,SUCCESS,37.352378762940795,-115.80015513114361,14993.514333489351,2.3958524278574225,0.3451478891408748
32,SUCCESS,37.352572053424296,-115.77725505834434,15180.613294902258,2.396511055490805,0.7038884418794019
25,SUCCESS,37.35130142948163,-115.80352719335134,16270.262923617847,2.4022827308966606,0.12317717130178653
34,SUCCESS,37.36460678808367,-115.7943112226346,15131.13673805166,2.402438351006489,0.6341593634374995
28,SUCCESS,37.36309685713901,-115.82450186362045,16556.434810381383,2.4044633237787005,0.20488585924304323
35,SUCCESS,37.35987404185926,-115.80894545142999,15185.808063406497,2.3811026328978047,0.2687862002366065
36,SUCCESS,37.34596174085165,-115.79718518171724,15158.801347188652,2.406764132655484,0.7017630596672233
37,SUCCESS,37.36519895236061,-115.786036920822,15277.320496886969,2.399455363876962,0.2629186253230719
38,SUCCESS,37.35493530553699,-115.81626906325666,14984.095597018488,2.4100870564806334,0.7435000552136644
40,SUCCESS,37.3599180904007,-115.79346033612546,15049.087420798838,2.393924523030917,0.2639039025342093
39,SUCCESS,37.358278431527715,-115.7939061459371,15020.974006188102,2.414048395660293,0.35511036755443576
41,SUCCESS,37.35377792068965,-115.80946077770534,15040.47677084338,2.3972928767705763,0.21712550151427742
42,SUCCESS,37.354952192313924,-115.80186043530094,14991.654701173306,2.404967141528668,0.24950483616249822
33,SUCCESS,37.35799971867877,-115.80685580712611,16049.44587523304,2.3968114649489185,0.0902865984642926
44,SUCCESS,37.34987215399495,-115.79840252292071,15240.178554050624,2.3924938528275663,0.2644468624500822
45,SUCCESS,37.35943385576018,-115.79659044403513,15073.260237490758,2.400263747728153,0.2117100688654357
46,SUCCESS,37.351441944441866,-115.79854425739636,15345.27764295414,2.405848758399329,0.2429371563779164
47,SUCCESS,37.34549945898077,-115.78939013675037,15173.188993312418,2.3915199052409695,0.2749704856079066
48,SUCCESS,37.382651025592644,-115.8115243491705,15017.175181036815,2.390063686802759,0.22468322881308694
49,SUCCESS,37.359096221956406,-115.7828466700795,14916.172163952142,2.38956840921492,0.4283343070277096
43,SUCCESS,37.35696649334065,-115.79508372764282,16072.502417972311,2.402573999253447,0.20665485747212323
50,SUCCESS,37.361285937348995,-115.79249137352421,16137.857469326816,2.384396478913163,0.13640317215210798
52,SUCCESS,37.35252182159771,-115.79124689279887,14683.370494348928,2.4051947584071978,13.191317046179876
51,SUCCESS,37.355289288208404,-115.80609131615219,16192.63911699038,2.3970949682665132,0.09917895972287383
55,SUCCESS,37.375681633889855,-115.81120833072521,15006.794307345524,2.3837626888517414,0.27386514274034685
56,SUCCESS,37.36629755823964,-115.77903266161233,15147.622532903217,2.3896235682458395,0.2101959691130602
53,SUCCESS,37.356433185259085,-115.80699331503754,16572.266847738996,2.4020586486685063,0.08545306524875826
54,SUCCESS,37.36665314686588,-115.80000858159471,16181.134839275852,2.3814778925538707,0.176583048696319
57,SUCCESS,37.35758367674892,-115.8181392135308,16421.74439729657,2.398689478426531,0.08735110183712724
60,SUCCESS,37.34971223389233,-115.80612461234738,14902.050467994064,2.3907822900711357,0.18185311087204614
58,SUCCESS,37.36182900196112,-115.81406820695811,16026.713206639513,2.3923981385382542,0.08419339990265466
59,SUCCESS,37.35488717994508,-115.80522708347995,16113.26456285268,2.3833071647860526,0.13449419207727178
61,SUCCESS,37.3582269937811,-115.79007215499757,15079.612277285196,2.395685044482419,0.41180967838183835
62,SUCCESS,37.36049916720508,-115.79675244782399,14945.35264896974,2.3998767457366785,0.39194672612089604
63,SUCCESS,37.35841049866569,-115.80675605968699,15369.281891906634,2.3786102134659846,0.34347198240434074
65,SUCCESS,37.3615981223928,-115.81106479688485,15276.007522227243,2.3916633517656116,0.20009319354535934
66,SUCCESS,37.38965555458753,-115.79157200769247,15090.907320474274,2.414156143642842,0.37952841316671687
67,SUCCESS,37.35452282276747,-115.80971006055191,15008.280144480057,2.411285221520213,0.3277075892103392
69,SUCCESS,37.357551771369465,-115.80284891173024,15018.330796529539,2.4091550709853022,0.19595844995834968
64,SUCCESS,37.364419075211465,-115.78403212982124,15910.832906933501,2.4110032293923163,0.09814789600095099
