t_s,u_b_mps,v_b_mps,w_b_mps,p_b_rps,q_b_rps,r_b_rps,q0,q1,q2,q3,x_e_m,y_e_m,z_e_m,lat_rad,long_rad,h_m,m_fuel_kg,phi_rad,theta_rad,psi_rad,phi_dot_rps,theta_dot_rps,psi_dot_rps,p_nb_rps,q_nb_rps,r_nb_rps,cs_mps,rho_kgpm3,p_kgpms2,T_K,mach,alpha_rad,beta_rad,true_airspeed_mps,qbar_kgpms2,g_mag_mps2,u_n_mps,v_n_mps,w_n_mps,Fx_b_kgmps2,Fy_b_kgmps2,Fz_b_kgmps2,l_b_kgm2ps2,m_b_kgm2ps2,n_b_kgm2ps2,n_x,n_y,n_z,dela_ach_rad,dele_ach_rad,delr_ach_rad,delt_ach_pct,dela_cmd_rad,dele_cmd_rad,delr_cmd_rad,delt_cmd_pct,dela_trim_rad,dele_trim_rad,delr_trim_rad,delt_trim_pct,W_N_mps,W_E_mps,W_D_mps
0.0,708.0588673995484,0.0,12.359213503459321,0.0,0.0,0.0,-0.24000951464480716,0.7557954129298545,0.47410956876422605,0.38260795010082366,-2216637.2105906312,-4585334.303916773,3853929.2706309254,0.6510078109942242,-2.0210912738094335,16500.00000164844,0.0,2.1875369224393698e-17,0.01745329252028264,-5.551960713634028e-17,-5.8015678254190285e-05,0.00011107847446443281,4.3176858726394105e-05,-5.876921834138313e-05,0.00011107847446443281,4.317028268167801e-05,295.0694685924129,0.15391131301310526,9571.743599331414,216.64999999999998,2.4,0.017453292519943292,0.0,708.1667246217909,38593.270192504264,9.7486382360459,708.1667246217908,-3.9991237038739394e-14,-2.403126586614235e-10,-50151.56755504912,0.0,-36465.85806078792,0.0,-48570.66987372937,0.0,-0.7669748362990095,0.0,0.5576773943501583,0.0,0.0,0.0,0.0,4.1803940204801005e-06,-0.003000816634700229,6.308244079827033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,707.3139115976719,0.0030091970909560902,11.419940858548859,-2.1838063319207893e-07,-0.03743230512630914,3.4797731698886617e-06,-0.23954296314189144,0.7561721147068498,0.47434196604384216,0.3818672543562749,-2216618.534994294,-4585295.672310158,3853985.5592294014,0.6510189128410708,-2.021091273747911,16499.977691765875,0.0,-5.8097564606832725e-06,0.015502558786246996,4.448001892458852e-06,-5.817486021558199e-05,-0.03732134571467173,4.698911998312334e-05,-5.890328263273783e-05,-0.03732134598700441,4.676664573419105e-05,295.0694685924128,0.15391185593033774,9571.777363350726,216.65,2.3974222047848794,0.016144103091740393,4.253846705818955e-06,707.406095957525,38510.54593719946,9.748638860253982,707.4059496113102,0.006222087165519797,0.45383229174276707,-50173.68480140732,-4.2605367245707715,-32466.55918008088,0.06197076194872023,-37720.01583011525,8.211899871214918,-0.767313078396554,-6.515697546814965e-05,0.49651556524134355,1.8037502626143327e-07,-0.003768260256895338,1.6800057156898496e-07,0.0,4.1803940204801005e-06,-0.003000816634700229,6.308244079827033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,706.5975514075949,0.0054703068970194,8.378692372490566,6.66507114141822e-07,-0.06087043728300727,1.2901252620187143e-05,-0.23833088340985023,0.7571455809277047,0.4749483468349924,0.3799377485681782,-2216599.8611557805,-4585257.045788612,3854041.7545049847,0.6510300025349391,-2.021091273562573,16499.903863753192,0.0,-1.1593254159684812e-05,0.010411702911692536,9.64016545607034e-06,-5.720168730993252e-05,-0.06075959657240133,5.719583801396951e-05,-5.779718262401477e-05,-0.060759597231368125,5.648833647628521e-05,295.0694685924128,0.1539136525577469,9571.889095598128,216.65,2.3948503702616537,0.011857244179272593,7.741213288526068e-06,706.6472261114493,38428.414456477054,9.748639641626047,706.6462514407608,0.012379628128665707,1.0214845056706112,-50335.52121038603,-7.6052551273668145,-21971.889284641667,0.21233195780374325,-17491.259851614926,14.099685861689618,-0.7697880649091375,-0.00011630821509061906,0.3360191317802868,9.120190354168818e-07,-0.008493949626928347,8.941633923767963e-07,0.0,4.1803940204801005e-06,-0.003000816634700229,6.308244079827033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,705.8768129153523,0.0070958922631102145,4.493669545614743,3.1472395269700125e-06,-0.06726458646789527,2.601034446498649e-05,-0.23677440573052927,0.7583870632241693,0.4757222934221122,0.37745856582749876,-2216581.1840647254,-4585218.413917417,3854097.8517666054,0.6510410805910906,-2.0210912732594224,16499.766464610584,0.0,-1.720468806791604e-05,0.0038777895679136232,1.6036581765456498e-05,-5.47543306863763e-05,-0.06715386391739121,7.113637914334934e-05,-5.5030181903975606e-05,-0.0671538651313224,6.9980483004467e-05,295.0694685924128,0.15391699620816673,9572.09703719695,216.64999999999998,2.3922878897212017,0.006365995822349222,1.0052389241021286e-05,705.8911163400996,38347.0549870172,9.748640617099019,705.8887377180957,0.018493244942829386,1.7563995252778297,-50429.73988280976,-9.685329930050363,-9729.61361157348,0.32660934202263536,1884.2659901271484,17.211274095603027,-0.771228964055095,-0.0001481190857982345,0.14879632224452563,1.802389581454968e-06,-0.011599633598003901,1.8880424239165297e-06,0.0,4.1803940204801005e-06,-0.003000816634700229,6.308244079827033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,705.1370945545276,0.007720543283116858,0.8773339039064152,8.385910372091341e-06,-0.05913323471568233,4.011276465744313e-05,-0.2352456550649818,0.7595972153438003,0.4764759388203399,0.3750226487212011,-2216562.4976398507,-4585179.764141783,3854153.8383883536,0.6510521467605951,-2.0210912728363244,16499.546743732877,0.0,-2.2455127689199994e-05,-0.0025308651514711795,2.3892570155698872e-05,-4.972523688318358e-05,-0.059022629890064945,8.578241709382042e-05,-4.95081333849201e-05,-0.05902263180143333,8.445678165158526e-05,295.0694685924129,0.1539223431833447,9572.429565550021,216.64999999999998,2.3897343352777685,0.001244202663518299,1.0948987603369016e-05,705.1376403874541,38266.563849693106,9.748641844082321,705.1324427797961,0.024587668394117263,2.6619357001573745,-50392.62862925196,-10.158169665935333,988.5497582202693,0.4538114184326962,16149.158316874575,16.642751339773508,-0.7706614165384376,-0.00015535028906277795,-0.015118027729685266,3.2269501876537896e-06,-0.012677849889021172,3.6021290284312927e-06,0.0,4.1803940204801005e-06,-0.003000816634700229,6.308244079827033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,704.3849078110989,0.007400651096698198,-1.6685083115310468,1.5460499736210164e-05,-0.041837689908012156,5.2514840942361074e-05,-0.23403018791225993,0.7605535088016545,0.477069787807444,0.37308503541203575,-2216543.7965790494,-4585141.0854896065,3854209.705399494,0.6510632010830125,-2.021091272293633,16499.229568792507,0.0,-2.7094912685823675e-05,-0.007618373580238933,3.31237120411341e-05,-4.2955432982539374e-05,-0.041727202523766695,9.828813935578446e-05,-4.2206644461702505e-05,-0.04172720517148128,9.715469212170268e-05,295.0694685924128,0.15393006173312893,9572.909582113114,216.64999999999998,2.387189997470226,-0.0023687406876528325,1.0506514623029956e-05,704.386883982663,38187.03762306445,9.748643368919268,704.3770327431303,0.03068702351037801,3.697755713480447,-50295.744427247075,-9.284454951176027,8050.935486903026,0.4489805556209507,23460.826446455045,13.327471261557992,-0.7691797530811371,-0.00014198844948340694,-0.12312406626858599,4.5400469667388245e-06,-0.011434240600281186,5.39107813302478e-06,0.0,4.1803940204801005e-06,-0.003000816634700229,6.308244079827033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,703.6332616038841,0.006340496862298126,-2.7694596170465666,2.208942132935668e-05,-0.021343499956974366,6.14367455529197e-05,-0.23327789342056302,0.7611438950623642,0.4774337101556665,0.37188476083818317,-2216525.0773483575,-4585102.370655844,3854265.446556143,0.6510742435512314,-2.021091271630891,16498.804698324762,0.0,-3.1069084001596535e-05,-0.01076173863852345,4.342368043748531e-05,-3.658712899414938e-05,-0.021233129901028408,0.00010692532770389338,-3.543644877487021e-05,-0.021233133212659985,0.00010625944203623761,295.0694685924128,0.15394040108671506,9573.552586448352,216.64999999999998,2.3846544177680844,-0.003935921547698104,9.011011980732848e-06,703.6387118273783,38108.518699625354,9.748645222973098,703.6221976463926,0.036808316691210125,4.802872130988489,-50199.689950323016,-7.382884921539605,10482.02555007719,0.3834300495261168,23138.32992053868,8.141270347182317,-0.7677107787238799,-0.00011290747687790233,-0.1603030617443402,5.482106527629055e-06,-0.008299747442906048,7.032103174635241e-06,0.0,4.1803940204801005e-06,-0.003000816634700229,6.308244079827033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,702.8887866450629,0.004848207534947445,-2.50246360236806,2.7771798788024267e-05,-0.00396165195413297,6.572326204385921e-05,-0.23298800812564777,0.7613731248039699,0.4775708903345181,0.37142086087842835,-2216506.3387319366,-4585063.617130505,3854321.059908801,0.6510852741877055,-2.02109127084766,16498.268729917705,0.0,-3.443723355579255e-05,-0.011968195641846022,5.4348404143002276e-05,-3.1024752148126686e-05,-0.003851399175992321,0.00011075762331035546,-2.9699214888537535e-05,-0.0038514029876215664,0.00011061705947246129,295.0694685924128,0.1539534440428447,9574.363727808955,216.64999999999998,2.3821279941483064,-0.0035602403633937523,6.8975019956904896e-06,702.893241352451,38031.035280205804,9.748647416664657,702.868295510844,0.042961799162115524,5.909825496029536,-50130.298841010925,-4.960419650050802,8724.032084393431,0.25873926825818344,16733.161355605964,2.3585731732669104,-0.7666495709232098,-7.586038153036906e-05,-0.13341782532421195,5.997129661035308e-06,-0.004600588971752018,8.228274375678112e-06,0.0,4.1803940204801005e-06,-0.003000816634700229,6.308244079827033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,702.1493101623382,0.0032675589905308603,-1.2892200200291772,3.152831620668937e-05,0.006255550598617206,6.533312250579088e-05,-0.23303669399332078,0.7613390118281654,0.4775429031898277,0.3714962436165559,-2216487.5812866413,-4585024.826099969,3854376.5448274743,0.6510962927898355,-2.0210912699409906,16497.622321642004,0.0,-3.732775545867196e-05,-0.011757504274830986,6.541650674580496e-05,-2.724454162773582e-05,0.006365686160827745,0.00010998647687150492,-2.5951404949859462e-05,0.006365682051128353,0.00011021649145358267,295.0694685924128,0.15396917458716555,9575.342010262464,216.65,2.3796107984003343,-0.001836103165805449,4.653644795055992e-06,702.1504937407539,37954.58062092705,9.748649947968755,702.1158467804634,0.04914940099613172,6.966202440475144,-50070.470795636626,-2.5500335784893795,4284.575501697847,0.11340632462923454,7341.667301721047,-2.8611871286747412,-0.7657346123776634,-3.899801505251183e-05,-0.06552460380063657,6.056511132248128e-06,-0.0015714729260454282,8.827788618087483e-06,0.0,4.1803940204801005e-06,-0.003000816634700229,6.308244079827033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,701.4103717643899,0.0018922069555488677,0.2681759300146771,3.2968699967952036e-05,0.008306837552143797,6.124527362557222e-05,-0.2332277102344867,0.7611940534726668,0.4774455750804899,0.37179842289519033,-2216468.807762155,-4584986.003213059,3854431.9093904,0.6511072997688261,-2.0210912689142284,16496.875364094973,0.0,-3.9954231313952446e-05,-0.010950873440438056,7.622470089847167e-05,-2.5704566516295155e-05,0.008416856020769756,0.00010575397020288124,-2.4546491319480758e-05,0.008416851788986436,0.00010608391809995078,295.0694685924128,0.1539873520289482,9576.472465253908,216.64999999999998,2.3771026747696444,0.0003823381115288429,2.69771719012473e-06,701.4104230338821,37879.085525843104,9.748652786617253,701.3653034193647,0.055364282102608825,7.949062437631326,-49997.181204172615,-0.5752975923613816,-940.5725834112233,-0.040978641365260755,-2035.483665690395,-6.712265788656042,-0.7646137845520161,-8.798105388037113e-06,0.014384306181403324,5.645444095049707e-06,0.00046920950450791776,8.826974308795321e-06,0.0,4.1803940204801005e-06,-0.003000816634700229,6.308244079827033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
