t_s,u_b_mps,v_b_mps,w_b_mps,p_b_rps,q_b_rps,r_b_rps,q0,q1,q2,q3,x_e_m,y_e_m,z_e_m,lat_rad,long_rad,h_m,m_fuel_kg,phi_rad,theta_rad,psi_rad,phi_dot_rps,theta_dot_rps,psi_dot_rps,p_nb_rps,q_nb_rps,r_nb_rps,cs_mps,rho_kgpm3,p_kgpms2,T_K,mach,alpha_rad,beta_rad,true_airspeed_mps,qbar_kgpms2,g_mag_mps2,u_n_mps,v_n_mps,w_n_mps,Fx_b_kgmps2,Fy_b_kgmps2,Fz_b_kgmps2,l_b_kgm2ps2,m_b_kgm2ps2,n_b_kgm2ps2,n_x,n_y,n_z,dela_ach_rad,dele_ach_rad,delr_ach_rad,delt_ach_pct,dela_cmd_rad,dele_cmd_rad,delr_cmd_rad,delt_cmd_pct,dela_trim_rad,dele_trim_rad,delr_trim_rad,delt_trim_pct,W_N_mps,W_E_mps,W_D_mps
0.0,0.0,0.0,0.0,0.17453292519943295,0.3490658503988659,0.5235987755982988,0.7071067811865476,0.0,-0.7071067811865475,0.0,6387281.0,0.0,0.0,0.0,0.0,9144.0,0.0,0.0,2.220446049250313e-16,0.0,0.17453292519943306,0.3490658503988659,0.5235987755982988,0.17453292519943295,0.3490658503988659,0.5235987755982988,303.2301162993323,0.45904119204140337,30148.707841120464,228.7993742033871,0.0,0.0,0.0,0.0,0.0,9.770251206022387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.1,-0.03375487832974147,0.018004837492145452,0.9762726050382106,0.17453292519943295,0.3490658503988659,0.5235987755982988,0.7190676812091951,-0.012339122604428474,-0.694389436000338,0.02467824520885695,6387280.950968411,8.795195932169605e-07,-1.5181605061123653e-06,-2.376849425955767e-13,1.376985919387526e-13,9143.95096841082,0.0,0.01836924783035229,0.03443016385088524,0.052683893237810336,0.1927862140466733,0.3393891822541029,0.5302370923476158,0.17453292519800317,0.34906585039628246,0.523598775598297,303.2303268293755,0.4590439102960258,30148.928436678758,228.79969199569396,0.003222053538698744,1.6052493133122654,0.0183676216412048,0.9770243520132474,0.21979740681386858,9.770251356023913,-1.6956437116797302e-05,8.256357235732203e-06,0.9770240606970271,1.3896957248871404e-05,-7.414217838953119e-06,-0.00040063212648359903,0.0,0.0,0.0,9.710186997157092e-08,-5.180518322436334e-08,2.7993270725074506e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.2,-0.1325787188858078,0.07522856198463537,1.9480834925566015,0.17453292519943295,0.3490658503988659,0.5235987755982988,0.7302633634990737,-0.024665092516901948,-0.6809331784652697,0.0493301850338039,6387280.804414984,1.720070045476404e-06,-3.2013967891216543e-06,-5.012143488547607e-13,2.692961368402929e-13,9143.804414983528,0.0,0.03855876456731186,0.06783993564191182,0.10608271132040038,0.2109970857697541,0.32862183794453514,0.5379037151788373,0.174532925197848,0.3490658503963765,0.523598775598287,303.23095609511813,0.4590520350486155,30149.587787836932,228.80064186398334,0.006444074826582506,1.6386948709090932,0.03847498515180967,1.9540429793772218,0.8770966831153952,9.7702518043724,-1.6870882515886605e-05,8.407888593219467e-06,1.9540426251002163,0.00010863643905547735,-6.164885789351162e-05,-0.0015950657773370176,0.0,0.0,0.0,7.590727373214117e-07,-4.3075755907342734e-07,1.1145164148767901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.30000000000000004,-0.29297953979528446,0.17653026866341828,2.9110238496581204,0.17453292519943295,0.3490658503988659,0.5235987755982988,0.7406817435015931,-0.036964835069783604,-0.6667520733620258,0.07392967013956724,6387280.560316407,2.5018880651392585e-06,-5.0470463649606965e-06,-7.90171390985631e-13,3.9169847660728445e-13,9143.560316407122,0.0,0.06056408872524602,0.1001190997924638,0.16029435004563963,0.22915699599092704,0.31673395769818846,0.5465034628178239,0.17453292519774052,0.349065850396453,0.5235987755982748,303.2320041966522,0.45906556759150763,30150.685999472364,228.80222395934265,0.009666034360876116,1.6711033973572103,0.06026410605513614,2.9310509718821707,1.9719298715973248,9.77025255113922,-1.6911271827013685e-05,8.271156331896012e-06,2.9310502907855773,0.0003595548178164608,-0.000216644167823858,-0.0035725110724610567,0.0,0.0,0.0,2.5123085969125526e-06,-1.5137525026091493e-06,2.4962119363091737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.4,-0.5111717109463293,0.32665456285683137,3.8606632033255286,0.17453292519943295,0.3490658503988659,0.5235987755982988,0.7503080499946339,-0.049225041310412276,-0.6518579673738092,0.09845008262082458,6387280.218205299,3.3536623122166666e-06,-6.663155951964396e-06,-1.043191424953099e-12,5.250532617627818e-13,9143.218205299228,0.0,0.08438741807979648,0.13114795864743978,0.21541121775270108,0.2472342672840861,0.30369067458850685,0.5559318657246705,0.17453292519760102,0.349065850396551,0.5235987755982521,303.23347314080695,0.45908453383584047,30152.22517436158,228.80444131105412,0.01288789896222078,1.7024114095650569,0.08366356751311048,3.908042381188533,3.50645341965341,9.770253597754337,-1.6890659487955872e-05,8.385987184370928e-06,3.9080420467712425,0.0008367890941053251,-0.0005347594653087451,-0.0063187082148876104,0.0,0.0,0.0,5.846875999855483e-06,-3.7365117512104005e-06,4.415055558439901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.5,-0.7823085115658656,0.5294818951443797,4.792793642725379,0.17453292519943295,0.3490658503988659,0.5235987755982988,0.7591356573729351,-0.061432836723885755,-0.6362699839251634,0.12286567344777154,6387279.778552265,4.1418161057380445e-06,-8.567742498824234e-06,-1.3413757962945268e-12,6.484475785550096e-13,9142.778552265218,0.0,0.11000926831011845,0.16081595008869445,0.27150558498385713,0.2651735164091554,0.28947084294521114,0.5660609200708865,0.17453292519750102,0.34906585039664734,0.5235987755982285,303.23536090691437,0.45910890769179646,30154.20319522762,228.8072908689461,0.016109638856600078,1.732576783141317,0.10858613362374447,4.885012174298619,5.478638408165386,9.770254942778177,-1.68739608107001e-05,8.279036156836709e-06,4.885011284444944,0.0016006412850504534,-0.0010833845538988662,-0.009805129834679755,0.0,0.0,0.0,1.1184121757640123e-05,-7.569906433326579e-06,6.851114421747003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.6000000000000001,-1.1013653616083228,0.7886838249420848,5.703287177204054,0.17453292519943295,0.3490658503988659,0.5235987755982988,0.767155377333052,-0.07357526514094617,-0.6200048470511595,0.14715053028189237,6387279.2413600385,4.993339520819799e-06,-1.0131902876511843e-05,-1.5862627096219556e-12,7.817631470511019e-13,9142.241360038519,0.0,0.13741200819578422,0.1890046907374574,0.3286403317297582,0.28289337073892085,0.27405294206959907,0.5767491801659475,0.17453292519737443,0.3490658503967481,0.5235987755981941,303.2376674832376,0.4591386890078374,30156.620049772635,228.8107726153022,0.019331221977813607,1.761558798447821,0.13495205826773893,5.861954662152897,7.888579461210748,9.770256586202562,-1.69164500085639e-05,8.374985184023132e-06,5.861954553915229,0.0027036314391199385,-0.0019360608740454446,-0.01400042806512571,0.0,0.0,0.0,1.8891017922199897e-05,-1.3527790859677152e-05,9.782484907885672e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.7000000000000001,-1.4630562609622586,1.10778133778274,6.588028875052421,0.17453292519943295,0.3490658503988659,0.5235987755982988,0.7743545358274365,-0.0856390049590964,-0.6030765259092435,0.17127800991819286,6387278.60616237,5.793590477942416e-06,-1.2093070217756024e-05,-1.8933055787616095e-12,9.070514745745422e-13,9141.606162370183,0.0,0.16657690998311273,0.2155856586888503,0.3868688343088693,0.30028344534314305,0.2574170838078252,0.587836601501861,0.17453292519728786,0.3490658503968623,0.5235987755981594,303.24039487173945,0.45917390363226596,30159.47783567386,228.8148895720584,0.02255261674809534,1.7893158465001155,0.16268731838035352,6.8388644384391455,10.738499005320621,9.770258529454109,-1.684264146861736e-05,8.283580645344438e-06,6.838863419394852,0.004190866059081844,-0.003173276577948206,-0.01887003323251047,0.0,0.0,0.0,2.928273605866374e-05,-2.2172557930318313e-05,0.00013185012233172549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.8,-1.8612811722208982,1.4892437358671384,7.443333893558922,0.17453292519943295,0.3490658503988659,0.5235987755982988,0.7807296016167613,-0.09761157821976475,-0.5855064451772315,0.1952231564395296,6387277.873432066,6.638391657573673e-06,-1.3621774291782142e-05,-2.1326415669644947e-12,1.0393146798113853e-12,9140.87343206598,0.0,0.19745605103469377,0.24044494916932482,0.44621658965566335,0.3172093750296787,0.23956547438320067,0.5991385373293544,0.17453292519717317,0.34906585039696547,0.523598775598114,303.2435410423038,0.4592145253532769,30162.774425754604,228.81963867478146,0.025773792244568064,1.8158217138887067,0.19170497444757517,7.815736060835518,14.026429467165716,9.770260771086635,-1.694160065938514e-05,8.369676178195581e-06,7.8157362235129,0.006093486888413464,-0.004875612010332559,-0.02436701692357562,0.0,0.0,0.0,4.257687211063764e-05,-3.4067244719889295e-05,0.00017025906222027572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.9,-2.2898077203729486,1.9353160914865088,8.265622630129803,0.17453292519943295,0.3490658503988659,0.5235987755982988,0.786273580119252,-0.10948027093578985,-0.567313038247672,0.2189605418715798,6387277.043172847,7.455736865099207e-06,-1.5619969949201978e-05,-2.4454818295219646e-12,1.1672793922518833e-12,9140.043172846548,0.0,0.22999536555906883,0.2634616100972531,0.5066951588052115,0.33350964841257263,0.22050766747810302,0.6104527932845722,0.17453292519710406,0.34906585039709365,0.5235987755980686,303.247105978955,0.4592605539646024,30166.50980327555,228.82501989935653,0.028994717601390503,1.8410468406504956,0.22192546070266744,8.792564201298738,17.752529618550295,9.770263311089064,-1.6820667976258363e-05,8.284910139710888e-06,8.792563100275789,0.008433414341042084,-0.007127813543109868,-0.03044247768333369,0.0,0.0,0.0,5.89265900509807e-05,-4.9803997483036454e-05,0.00021270998080242213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
